"","Roger Federer","Pete Sampras","Ivan Lendl","Jimmy Connors","Novak Djokovic","John McEnroe","Rafael Nadal","Bjorn Borg","Andre Agassi","Lleyton Hewitt","Stefan Edberg","Jim Courier","Gustavo Kuerten","Andy Murray","Ilie Nastase","Mats Wilander","Andy Roddick","Boris Becker","Marat Safin","Juan Carlos Ferrero","John Newcombe","Yevgeny Kafelnikov","Thomas Muster","Marcelo Rios","Carlos Moya","Patrick Rafter"
"11/22/2010",2,NA,NA,NA,3,NA,1,NA,NA,54,NA,NA,NA,5,NA,NA,8,NA,NA,28,NA,NA,980,NA,516,NA
"11/29/2010",2,NA,NA,NA,3,NA,1,NA,NA,54,NA,NA,NA,4,NA,NA,8,NA,NA,28,NA,NA,982,NA,515,NA
"12/06/2010",2,NA,NA,NA,3,NA,1,NA,NA,54,NA,NA,NA,4,NA,NA,8,NA,NA,29,NA,NA,980,NA,512,NA
"12/13/2010",2,NA,NA,NA,3,NA,1,NA,NA,54,NA,NA,NA,4,NA,NA,8,NA,NA,29,NA,NA,982,NA,514,NA
"12/20/2010",2,NA,NA,NA,3,NA,1,NA,NA,54,NA,NA,NA,4,NA,NA,8,NA,NA,29,NA,NA,980,NA,514,NA
"12/27/2010",2,NA,NA,NA,3,NA,1,NA,NA,54,NA,NA,NA,4,NA,NA,8,NA,NA,29,NA,NA,980,NA,516,NA
"01/03/2011",2,NA,NA,NA,3,NA,1,NA,NA,54,NA,NA,NA,4,NA,NA,8,NA,NA,29,NA,NA,980,NA,515,NA
"01/10/2011",2,NA,NA,NA,3,NA,1,NA,NA,54,NA,NA,NA,5,NA,NA,8,NA,NA,28,NA,NA,978,NA,515,NA
"01/17/2011",2,NA,NA,NA,3,NA,1,NA,NA,54,NA,NA,NA,5,NA,NA,8,NA,NA,29,NA,NA,977,NA,514,NA
"01/31/2011",2,NA,NA,NA,3,NA,1,NA,NA,68,NA,NA,NA,5,NA,NA,8,NA,NA,28,NA,NA,981,NA,552,NA
"02/07/2011",2,NA,NA,NA,3,NA,1,NA,NA,70,NA,NA,NA,5,NA,NA,8,NA,NA,27,NA,NA,982,NA,556,NA
"02/14/2011",2,NA,NA,NA,3,NA,1,NA,NA,70,NA,NA,NA,5,NA,NA,8,NA,NA,27,NA,NA,981,NA,555,NA
"02/21/2011",2,NA,NA,NA,3,NA,1,NA,NA,63,NA,NA,NA,5,NA,NA,8,NA,NA,34,NA,NA,980,NA,668,NA
"02/28/2011",2,NA,NA,NA,3,NA,1,NA,NA,64,NA,NA,NA,5,NA,NA,8,NA,NA,46,NA,NA,978,NA,668,NA
"03/07/2011",2,NA,NA,NA,3,NA,1,NA,NA,64,NA,NA,NA,5,NA,NA,8,NA,NA,46,NA,NA,979,NA,667,NA
"03/21/2011",3,NA,NA,NA,2,NA,1,NA,NA,64,NA,NA,NA,5,NA,NA,8,NA,NA,50,NA,NA,982,NA,NA,NA
"04/04/2011",3,NA,NA,NA,2,NA,1,NA,NA,64,NA,NA,NA,4,NA,NA,14,NA,NA,57,NA,NA,987,NA,NA,NA
"04/11/2011",3,NA,NA,NA,2,NA,1,NA,NA,65,NA,NA,NA,4,NA,NA,13,NA,NA,58,NA,NA,991,NA,NA,NA
"04/18/2011",3,NA,NA,NA,2,NA,1,NA,NA,61,NA,NA,NA,4,NA,NA,13,NA,NA,77,NA,NA,989,NA,NA,NA
"04/25/2011",3,NA,NA,NA,2,NA,1,NA,NA,64,NA,NA,NA,4,NA,NA,12,NA,NA,70,NA,NA,991,NA,NA,NA
"05/02/2011",3,NA,NA,NA,2,NA,1,NA,NA,67,NA,NA,NA,4,NA,NA,12,NA,NA,73,NA,NA,990,NA,NA,NA
"05/09/2011",3,NA,NA,NA,2,NA,1,NA,NA,66,NA,NA,NA,4,NA,NA,12,NA,NA,73,NA,NA,995,NA,NA,NA
"05/16/2011",3,NA,NA,NA,2,NA,1,NA,NA,64,NA,NA,NA,4,NA,NA,11,NA,NA,72,NA,NA,998,NA,NA,NA
"05/23/2011",3,NA,NA,NA,2,NA,1,NA,NA,67,NA,NA,NA,4,NA,NA,11,NA,NA,72,NA,NA,999,NA,NA,NA
"06/06/2011",3,NA,NA,NA,2,NA,1,NA,NA,73,NA,NA,NA,4,NA,NA,10,NA,NA,84,NA,NA,1008,NA,NA,NA
"06/13/2011",3,NA,NA,NA,2,NA,1,NA,NA,130,NA,NA,NA,4,NA,NA,10,NA,NA,82,NA,NA,1009,NA,NA,NA
"06/20/2011",3,NA,NA,NA,2,NA,1,NA,NA,130,NA,NA,NA,4,NA,NA,10,NA,NA,80,NA,NA,1006,NA,NA,NA
"07/04/2011",3,NA,NA,NA,1,NA,2,NA,NA,173,NA,NA,NA,4,NA,NA,10,NA,NA,85,NA,NA,1009,NA,NA,NA
"07/11/2011",3,NA,NA,NA,1,NA,2,NA,NA,174,NA,NA,NA,4,NA,NA,10,NA,NA,85,NA,NA,1006,NA,NA,NA
"07/18/2011",3,NA,NA,NA,1,NA,2,NA,NA,174,NA,NA,NA,4,NA,NA,10,NA,NA,64,NA,NA,1006,NA,NA,NA
"07/25/2011",3,NA,NA,NA,1,NA,2,NA,NA,165,NA,NA,NA,4,NA,NA,12,NA,NA,73,NA,NA,1003,NA,NA,NA
"08/01/2011",3,NA,NA,NA,1,NA,2,NA,NA,164,NA,NA,NA,4,NA,NA,12,NA,NA,104,NA,NA,1008,NA,NA,NA
"08/08/2011",3,NA,NA,NA,1,NA,2,NA,NA,168,NA,NA,NA,4,NA,NA,12,NA,NA,104,NA,NA,1005,NA,NA,NA
"08/15/2011",3,NA,NA,NA,1,NA,2,NA,NA,165,NA,NA,NA,4,NA,NA,15,NA,NA,106,NA,NA,1014,NA,NA,NA
"08/22/2011",3,NA,NA,NA,1,NA,2,NA,NA,188,NA,NA,NA,4,NA,NA,21,NA,NA,103,NA,NA,1017,NA,NA,NA
"08/29/2011",3,NA,NA,NA,1,NA,2,NA,NA,188,NA,NA,NA,4,NA,NA,21,NA,NA,105,NA,NA,1009,NA,NA,NA
"09/12/2011",3,NA,NA,NA,1,NA,2,NA,NA,199,NA,NA,NA,4,NA,NA,14,NA,NA,82,NA,NA,1006,NA,NA,NA
"09/19/2011",3,NA,NA,NA,1,NA,2,NA,NA,199,NA,NA,NA,4,NA,NA,14,NA,NA,85,NA,NA,847,NA,NA,NA
"09/26/2011",3,NA,NA,NA,1,NA,2,NA,NA,200,NA,NA,NA,4,NA,NA,14,NA,NA,85,NA,NA,1068,NA,NA,NA
"10/03/2011",3,NA,NA,NA,1,NA,2,NA,NA,199,NA,NA,NA,4,NA,NA,15,NA,NA,84,NA,NA,1075,NA,NA,NA
"10/10/2011",3,NA,NA,NA,1,NA,2,NA,NA,194,NA,NA,NA,4,NA,NA,15,NA,NA,69,NA,NA,1078,NA,NA,NA
"10/17/2011",4,NA,NA,NA,1,NA,2,NA,NA,190,NA,NA,NA,3,NA,NA,13,NA,NA,59,NA,NA,1073,NA,NA,NA
"10/24/2011",4,NA,NA,NA,1,NA,2,NA,NA,187,NA,NA,NA,3,NA,NA,14,NA,NA,58,NA,NA,1078,NA,NA,NA
"10/31/2011",4,NA,NA,NA,1,NA,2,NA,NA,186,NA,NA,NA,3,NA,NA,15,NA,NA,58,NA,NA,1076,NA,NA,NA
"11/07/2011",4,NA,NA,NA,1,NA,2,NA,NA,186,NA,NA,NA,3,NA,NA,15,NA,NA,51,NA,NA,1072,NA,NA,NA
"11/14/2011",4,NA,NA,NA,1,NA,2,NA,NA,188,NA,NA,NA,3,NA,NA,14,NA,NA,50,NA,NA,1073,NA,NA,NA
"11/21/2011",4,NA,NA,NA,1,NA,2,NA,NA,189,NA,NA,NA,3,NA,NA,14,NA,NA,50,NA,NA,1076,NA,NA,NA
"11/28/2011",3,NA,NA,NA,1,NA,2,NA,NA,188,NA,NA,NA,4,NA,NA,14,NA,NA,50,NA,NA,1078,NA,NA,NA
"12/05/2011",3,NA,NA,NA,1,NA,2,NA,NA,187,NA,NA,NA,4,NA,NA,14,NA,NA,50,NA,NA,1074,NA,NA,NA
"12/12/2011",3,NA,NA,NA,1,NA,2,NA,NA,186,NA,NA,NA,4,NA,NA,14,NA,NA,50,NA,NA,1076,NA,NA,NA
"12/19/2011",3,NA,NA,NA,1,NA,2,NA,NA,186,NA,NA,NA,4,NA,NA,14,NA,NA,50,NA,NA,1074,NA,NA,NA
"12/26/2011",3,NA,NA,NA,1,NA,2,NA,NA,186,NA,NA,NA,4,NA,NA,14,NA,NA,50,NA,NA,1075,NA,NA,NA
"01/02/2012",3,NA,NA,NA,1,NA,2,NA,NA,186,NA,NA,NA,4,NA,NA,14,NA,NA,50,NA,NA,1075,NA,NA,NA
"01/09/2012",3,NA,NA,NA,1,NA,2,NA,NA,182,NA,NA,NA,4,NA,NA,16,NA,NA,47,NA,NA,1075,NA,NA,NA
"01/16/2012",3,NA,NA,NA,1,NA,2,NA,NA,181,NA,NA,NA,4,NA,NA,16,NA,NA,48,NA,NA,1077,NA,NA,NA
"01/30/2012",3,NA,NA,NA,1,NA,2,NA,NA,131,NA,NA,NA,4,NA,NA,19,NA,NA,47,NA,NA,1074,NA,NA,NA
"02/06/2012",3,NA,NA,NA,1,NA,2,NA,NA,130,NA,NA,NA,4,NA,NA,19,NA,NA,48,NA,NA,1073,NA,NA,NA
"02/13/2012",3,NA,NA,NA,1,NA,2,NA,NA,143,NA,NA,NA,4,NA,NA,17,NA,NA,43,NA,NA,1076,NA,NA,NA
"02/20/2012",3,NA,NA,NA,1,NA,2,NA,NA,170,NA,NA,NA,4,NA,NA,27,NA,NA,47,NA,NA,1075,NA,NA,NA
"02/27/2012",3,NA,NA,NA,1,NA,2,NA,NA,167,NA,NA,NA,4,NA,NA,30,NA,NA,47,NA,NA,1078,NA,NA,NA
"03/05/2012",3,NA,NA,NA,1,NA,2,NA,NA,171,NA,NA,NA,4,NA,NA,31,NA,NA,48,NA,NA,1077,NA,NA,NA
"03/19/2012",3,NA,NA,NA,1,NA,2,NA,NA,178,NA,NA,NA,4,NA,NA,34,NA,NA,49,NA,NA,1084,NA,NA,NA
"04/02/2012",3,NA,NA,NA,1,NA,2,NA,NA,175,NA,NA,NA,4,NA,NA,29,NA,NA,49,NA,NA,1079,NA,NA,NA
"04/09/2012",3,NA,NA,NA,1,NA,2,NA,NA,174,NA,NA,NA,4,NA,NA,29,NA,NA,48,NA,NA,1081,NA,NA,NA
"04/16/2012",3,NA,NA,NA,1,NA,2,NA,NA,173,NA,NA,NA,4,NA,NA,27,NA,NA,46,NA,NA,1076,NA,NA,NA
"04/23/2012",3,NA,NA,NA,1,NA,2,NA,NA,173,NA,NA,NA,4,NA,NA,28,NA,NA,52,NA,NA,1067,NA,NA,NA
"04/30/2012",3,NA,NA,NA,1,NA,2,NA,NA,176,NA,NA,NA,4,NA,NA,28,NA,NA,52,NA,NA,1071,NA,NA,NA
"05/07/2012",3,NA,NA,NA,1,NA,2,NA,NA,177,NA,NA,NA,4,NA,NA,27,NA,NA,49,NA,NA,1075,NA,NA,NA
"05/14/2012",2,NA,NA,NA,1,NA,3,NA,NA,178,NA,NA,NA,4,NA,NA,27,NA,NA,47,NA,NA,1077,NA,NA,NA
"05/21/2012",3,NA,NA,NA,1,NA,2,NA,NA,175,NA,NA,NA,4,NA,NA,29,NA,NA,44,NA,NA,1077,NA,NA,NA
"05/28/2012",3,NA,NA,NA,1,NA,2,NA,NA,176,NA,NA,NA,4,NA,NA,30,NA,NA,41,NA,NA,1087,NA,NA,NA
"06/11/2012",3,NA,NA,NA,1,NA,2,NA,NA,205,NA,NA,NA,4,NA,NA,32,NA,NA,38,NA,NA,1071,NA,NA,NA
"06/18/2012",3,NA,NA,NA,1,NA,2,NA,NA,202,NA,NA,NA,4,NA,NA,33,NA,NA,38,NA,NA,1061,NA,NA,NA
"06/25/2012",3,NA,NA,NA,1,NA,2,NA,NA,202,NA,NA,NA,4,NA,NA,25,NA,NA,38,NA,NA,1075,NA,NA,NA
"07/02/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07/09/2012",1,NA,NA,NA,2,NA,3,NA,NA,233,NA,NA,NA,4,NA,NA,27,NA,NA,37,NA,NA,1072,NA,NA,NA
"07/16/2012",1,NA,NA,NA,2,NA,3,NA,NA,150,NA,NA,NA,4,NA,NA,27,NA,NA,56,NA,NA,1067,NA,NA,NA
"07/23/2012",1,NA,NA,NA,2,NA,3,NA,NA,158,NA,NA,NA,4,NA,NA,22,NA,NA,58,NA,NA,1076,NA,NA,NA
"07/30/2012",1,NA,NA,NA,2,NA,3,NA,NA,159,NA,NA,NA,4,NA,NA,21,NA,NA,65,NA,NA,1093,NA,NA,NA
"08/06/2012",1,NA,NA,NA,2,NA,3,NA,NA,134,NA,NA,NA,4,NA,NA,20,NA,NA,64,NA,NA,1092,NA,NA,NA
"08/13/2012",1,NA,NA,NA,2,NA,3,NA,NA,134,NA,NA,NA,4,NA,NA,21,NA,NA,66,NA,NA,1088,NA,NA,NA
"08/20/2012",1,NA,NA,NA,2,NA,3,NA,NA,125,NA,NA,NA,4,NA,NA,21,NA,NA,66,NA,NA,1087,NA,NA,NA
"08/27/2012",1,NA,NA,NA,2,NA,3,NA,NA,125,NA,NA,NA,4,NA,NA,22,NA,NA,66,NA,NA,1083,NA,NA,NA
"09/10/2012",1,NA,NA,NA,2,NA,4,NA,NA,100,NA,NA,NA,3,NA,NA,27,NA,NA,111,NA,NA,1092,NA,NA,NA
"09/17/2012",1,NA,NA,NA,2,NA,4,NA,NA,101,NA,NA,NA,3,NA,NA,27,NA,NA,114,NA,NA,NA,NA,NA,NA
"09/24/2012",1,NA,NA,NA,2,NA,4,NA,NA,105,NA,NA,NA,3,NA,NA,27,NA,NA,115,NA,NA,NA,NA,NA,NA
"10/01/2012",1,NA,NA,NA,2,NA,4,NA,NA,104,NA,NA,NA,3,NA,NA,27,NA,NA,116,NA,NA,NA,NA,NA,NA
"10/08/2012",1,NA,NA,NA,2,NA,4,NA,NA,105,NA,NA,NA,3,NA,NA,27,NA,NA,133,NA,NA,NA,NA,NA,NA
"10/15/2012",1,NA,NA,NA,2,NA,4,NA,NA,102,NA,NA,NA,3,NA,NA,30,NA,NA,162,NA,NA,NA,NA,NA,NA
"10/22/2012",1,NA,NA,NA,2,NA,4,NA,NA,91,NA,NA,NA,3,NA,NA,29,NA,NA,161,NA,NA,NA,NA,NA,NA
"10/29/2012",1,NA,NA,NA,2,NA,4,NA,NA,81,NA,NA,NA,3,NA,NA,31,NA,NA,162,NA,NA,NA,NA,NA,NA
"11/05/2012",2,NA,NA,NA,1,NA,4,NA,NA,80,NA,NA,NA,3,NA,NA,39,NA,NA,213,NA,NA,NA,NA,NA,NA
"11/12/2012",2,NA,NA,NA,1,NA,4,NA,NA,82,NA,NA,NA,3,NA,NA,39,NA,NA,212,NA,NA,NA,NA,NA,NA
"11/19/2012",2,NA,NA,NA,1,NA,4,NA,NA,82,NA,NA,NA,3,NA,NA,39,NA,NA,212,NA,NA,NA,NA,NA,NA
"11/26/2012",2,NA,NA,NA,1,NA,4,NA,NA,83,NA,NA,NA,3,NA,NA,39,NA,NA,212,NA,NA,NA,NA,NA,NA
"12/03/2012",2,NA,NA,NA,1,NA,4,NA,NA,83,NA,NA,NA,3,NA,NA,39,NA,NA,211,NA,NA,NA,NA,NA,NA
"12/10/2012",2,NA,NA,NA,1,NA,4,NA,NA,83,NA,NA,NA,3,NA,NA,39,NA,NA,212,NA,NA,NA,NA,NA,NA
"12/17/2012",2,NA,NA,NA,1,NA,4,NA,NA,83,NA,NA,NA,3,NA,NA,39,NA,NA,213,NA,NA,NA,NA,NA,NA
"12/24/2012",2,NA,NA,NA,1,NA,4,NA,NA,83,NA,NA,NA,3,NA,NA,39,NA,NA,213,NA,NA,NA,NA,NA,NA
"12/31/2012",2,NA,NA,NA,1,NA,4,NA,NA,83,NA,NA,NA,3,NA,NA,39,NA,NA,213,NA,NA,NA,NA,NA,NA
"01/07/2013",2,NA,NA,NA,1,NA,4,NA,NA,82,NA,NA,NA,3,NA,NA,39,NA,NA,213,NA,NA,NA,NA,NA,NA
"01/14/2013",2,NA,NA,NA,1,NA,4,NA,NA,81,NA,NA,NA,3,NA,NA,39,NA,NA,213,NA,NA,NA,NA,NA,NA
"01/28/2013",2,NA,NA,NA,1,NA,5,NA,NA,115,NA,NA,NA,3,NA,NA,41,NA,NA,220,NA,NA,NA,NA,NA,NA
"02/04/2013",2,NA,NA,NA,1,NA,5,NA,NA,112,NA,NA,NA,3,NA,NA,41,NA,NA,218,NA,NA,NA,NA,NA,NA
"02/11/2013",2,NA,NA,NA,1,NA,5,NA,NA,112,NA,NA,NA,3,NA,NA,42,NA,NA,270,NA,NA,NA,NA,NA,NA
"02/18/2013",2,NA,NA,NA,1,NA,5,NA,NA,107,NA,NA,NA,3,NA,NA,40,NA,NA,267,NA,NA,NA,NA,NA,NA
"02/25/2013",2,NA,NA,NA,1,NA,5,NA,NA,98,NA,NA,NA,3,NA,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,NA
"03/04/2013",2,NA,NA,NA,1,NA,5,NA,NA,98,NA,NA,NA,3,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,NA
"03/18/2013",2,NA,NA,NA,1,NA,4,NA,NA,91,NA,NA,NA,3,NA,NA,NA,NA,NA,259,NA,NA,NA,NA,NA,NA
"04/01/2013",3,NA,NA,NA,1,NA,5,NA,NA,83,NA,NA,NA,2,NA,NA,NA,NA,NA,263,NA,NA,NA,NA,NA,NA
"04/08/2013",3,NA,NA,NA,1,NA,5,NA,NA,82,NA,NA,NA,2,NA,NA,NA,NA,NA,258,NA,NA,NA,NA,NA,NA
"04/15/2013",3,NA,NA,NA,1,NA,5,NA,NA,82,NA,NA,NA,2,NA,NA,NA,NA,NA,265,NA,NA,NA,NA,NA,NA
"04/22/2013",2,NA,NA,NA,1,NA,5,NA,NA,83,NA,NA,NA,3,NA,NA,NA,NA,NA,267,NA,NA,NA,NA,NA,NA
"04/29/2013",2,NA,NA,NA,1,NA,5,NA,NA,83,NA,NA,NA,3,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,NA
"05/06/2013",2,NA,NA,NA,1,NA,5,NA,NA,83,NA,NA,NA,3,NA,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,NA
"05/13/2013",3,NA,NA,NA,1,NA,5,NA,NA,83,NA,NA,NA,2,NA,NA,NA,NA,NA,274,NA,NA,NA,NA,NA,NA
"05/20/2013",3,NA,NA,NA,1,NA,4,NA,NA,85,NA,NA,NA,2,NA,NA,NA,NA,NA,453,NA,NA,NA,NA,NA,NA
"05/27/2013",3,NA,NA,NA,1,NA,4,NA,NA,86,NA,NA,NA,2,NA,NA,NA,NA,NA,526,NA,NA,NA,NA,NA,NA
"06/10/2013",3,NA,NA,NA,1,NA,5,NA,NA,82,NA,NA,NA,2,NA,NA,NA,NA,NA,956,NA,NA,NA,NA,NA,NA
"06/17/2013",3,NA,NA,NA,1,NA,5,NA,NA,70,NA,NA,NA,2,NA,NA,NA,NA,NA,961,NA,NA,NA,NA,NA,NA
"06/24/2013",3,NA,NA,NA,1,NA,5,NA,NA,70,NA,NA,NA,2,NA,NA,NA,NA,NA,968,NA,NA,NA,NA,NA,NA
"07/08/2013",5,NA,NA,NA,1,NA,4,NA,NA,64,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07/15/2013",5,NA,NA,NA,1,NA,4,NA,NA,65,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07/22/2013",5,NA,NA,NA,1,NA,4,NA,NA,64,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07/29/2013",5,NA,NA,NA,1,NA,4,NA,NA,57,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08/05/2013",5,NA,NA,NA,1,NA,4,NA,NA,63,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08/12/2013",5,NA,NA,NA,1,NA,3,NA,NA,64,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08/19/2013",7,NA,NA,NA,1,NA,2,NA,NA,67,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08/26/2013",7,NA,NA,NA,1,NA,2,NA,NA,66,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09/09/2013",6,NA,NA,NA,1,NA,2,NA,NA,58,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09/16/2013",5,NA,NA,NA,1,NA,2,NA,NA,57,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09/23/2013",5,NA,NA,NA,1,NA,2,NA,NA,57,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09/30/2013",6,NA,NA,NA,1,NA,2,NA,NA,59,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/07/2013",7,NA,NA,NA,2,NA,1,NA,NA,54,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/14/2013",7,NA,NA,NA,2,NA,1,NA,NA,53,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/21/2013",6,NA,NA,NA,2,NA,1,NA,NA,59,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/28/2013",6,NA,NA,NA,2,NA,1,NA,NA,63,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11/04/2013",7,NA,NA,NA,2,NA,1,NA,NA,62,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11/11/2013",6,NA,NA,NA,2,NA,1,NA,NA,61,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11/18/2013",6,NA,NA,NA,2,NA,1,NA,NA,61,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11/25/2013",6,NA,NA,NA,2,NA,1,NA,NA,60,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12/02/2013",6,NA,NA,NA,2,NA,1,NA,NA,60,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12/09/2013",6,NA,NA,NA,2,NA,1,NA,NA,60,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12/16/2013",6,NA,NA,NA,2,NA,1,NA,NA,60,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12/23/2013",6,NA,NA,NA,2,NA,1,NA,NA,60,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12/30/2013",6,NA,NA,NA,2,NA,1,NA,NA,60,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01/06/2014",6,NA,NA,NA,2,NA,1,NA,NA,43,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01/13/2014",6,NA,NA,NA,2,NA,1,NA,NA,43,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01/27/2014",8,NA,NA,NA,2,NA,1,NA,NA,41,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02/03/2014",8,NA,NA,NA,2,NA,1,NA,NA,40,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02/10/2014",8,NA,NA,NA,2,NA,1,NA,NA,40,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02/17/2014",8,NA,NA,NA,2,NA,1,NA,NA,38,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02/24/2014",8,NA,NA,NA,2,NA,1,NA,NA,42,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03/03/2014",8,NA,NA,NA,2,NA,1,NA,NA,41,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03/17/2014",5,NA,NA,NA,2,NA,1,NA,NA,44,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03/31/2014",4,NA,NA,NA,2,NA,1,NA,NA,46,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04/07/2014",4,NA,NA,NA,2,NA,1,NA,NA,46,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04/14/2014",4,NA,NA,NA,2,NA,1,NA,NA,43,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04/21/2014",4,NA,NA,NA,2,NA,1,NA,NA,42,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04/28/2014",4,NA,NA,NA,2,NA,1,NA,NA,42,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05/05/2014",4,NA,NA,NA,2,NA,1,NA,NA,43,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05/12/2014",4,NA,NA,NA,2,NA,1,NA,NA,42,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05/19/2014",4,NA,NA,NA,2,NA,1,NA,NA,44,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05/26/2014",4,NA,NA,NA,2,NA,1,NA,NA,46,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06/09/2014",4,NA,NA,NA,2,NA,1,NA,NA,43,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06/16/2014",4,NA,NA,NA,2,NA,1,NA,NA,46,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06/23/2014",4,NA,NA,NA,2,NA,1,NA,NA,48,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07/07/2014",3,NA,NA,NA,1,NA,2,NA,NA,43,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07/14/2014",3,NA,NA,NA,1,NA,2,NA,NA,41,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07/21/2014",3,NA,NA,NA,1,NA,2,NA,NA,40,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07/28/2014",3,NA,NA,NA,1,NA,2,NA,NA,45,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08/04/2014",3,NA,NA,NA,1,NA,2,NA,NA,42,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08/11/2014",3,NA,NA,NA,1,NA,2,NA,NA,42,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
